ID,Name,Type,Time_Period,Logic,Parents,Trigger,Principle,Tech_Make,Tech_Use
META-03,SCIENTIFIC_METHOD_META,META_TOOL,SCIENTIFIC,DETERMINISTIC,[META-01;SCI-01],Hypothesis -> Experiment -> Proof,Verification,Documentation,Discovery
META-04,BLUEPRINT_DRAFT,META_TOOL,SCIENTIFIC,DETERMINISTIC,[META-03;ENV-06;IND-02],2D projection of 3D object with measurements,Standardization,Geometry,Engineering
ENV-06,DRAFTING_ROOM,ENVIRONMENT,SCIENTIFIC,DETERMINISTIC,[ENV-02;PRIM-23;IND-80],Quiet space + Light + Paper + Instruments,Precision Planning,Design,Architecture/Machines
ENV-07,ALCHEMY_CHEM_LAB,ENVIRONMENT,SCIENTIFIC,DETERMINISTIC,[ENV-01;IND-82;IND-83],Glassware + Burners + Scales,Isolation/Reaction,Distillation,Chemistry/Medicine
ENV-08,MACHINE_SHOP,ENVIRONMENT,SCIENTIFIC,DETERMINISTIC,[ENV-04;IND-06;IND-39],Lathes + Drills + Hardened Steel Cutters,Subtractive Mfg,Precision Machining,Steam Engines/Gears
ENV-09,PRINTING_HOUSE,ENVIRONMENT,SCIENTIFIC,DETERMINISTIC,[ENV-02;PRIM-40;PRIM-53],Presses + Type Cases + Ink mixing,Replication,Typesetting,Books/Newspapers
ENV-TEXTILE,TEXTILE_MILL,ENVIRONMENT,SCIENTIFIC,DETERMINISTIC,[ENV-02;IND-09;IND-33],Large hall + Power source + Rows of machines,Automation,Mass Production,Clothing
ENV-SITE,CONSTRUCTION_SITE,ENVIRONMENT,SCIENTIFIC,DETERMINISTIC,[ENV-06;PRIM-52;IND-15],Temporary workspace + Scaffolding + Cranes,Logistics/Assembly,Civil Engineering,Cities
SCI-01,SCIENTIFIC_METHOD,METHOD,SCIENTIFIC,DETERMINISTIC,[PRIM-40;PRIM-29],Books spread knowledge; Lenses show invisible things,Empiricism/Verification,Observation/Hypothesis,Research
SCI-02,TELESCOPE,TOOL,SCIENTIFIC,DETERMINISTIC,[PRIM-29;PRIM-28],Two lenses in a tube make far things close,Optics/Refraction,Grinding/Assembly,Astronomy/Navigation
SCI-03,HELIOCENTRISM,DISCOVERY,SCIENTIFIC,DETERMINISTIC,[SCI-02;SCI-01],Planets orbit Sun (not Earth),Gravity/Orbital Mechanics,Math/Observation,Navigation/Calendar
SCI-04,MICROSCOPE,TOOL,SCIENTIFIC,DETERMINISTIC,[PRIM-29;SCI-01],Two lenses make small things huge,Optics/Magnification,Grinding/Assembly,Biology/Medicine
SCI-05,CALCULUS,METHOD,SCIENTIFIC,DETERMINISTIC,[PRIM-31;SCI-01],Math for changing rates (Velocity/Acceleration),Integration/Differentiation,Symbolic Logic,Engineering/Physics
SCI-06,NEWTON_PHYSICS,DISCOVERY,SCIENTIFIC,DETERMINISTIC,[SCI-05;SCI-03],Laws of Motion and Gravity,Determinism,Math,Predicting Mechanics
SCI-07,GAS_LAWS,DISCOVERY,SCIENTIFIC,DETERMINISTIC,[SCI-01;PRIM-25],Pressure * Volume = Constant (Boyle),Thermodynamics,Experimentation,Steam Engines
SCI-08,VACUUM_PUMP,MACHINE,SCIENTIFIC,DETERMINISTIC,[SCI-07;PRIM-36],Removing air creates suction force,Pressure Differential,Sealing/Pumping,Steam Engines/Lightbulbs
