ID,Name,Type,Time_Period,Logic,Parents,Trigger,Principle,Tech_Make,Tech_Use
META-05,STANDARDIZATION,META_TOOL,ELECTRIC,HYBRID,[META-04;IND-43;IND-48],Interchangeable parts logic,Tolerance,Metrology,Mass Production
ENV-10,ELEC_LAB_19C,ENVIRONMENT,ELECTRIC,HYBRID,[ENV-08;ELEC-02;ELEC-03],Machine shop + Batteries + Coils + Meters,Circuitry,Prototyping,Lightbulbs/Radio/Motors
ENV-11,ASSEMBLY_LINE_FLOOR,ENVIRONMENT,ELECTRIC,HYBRID,[ENV-08;IND-46;ELEC-09],Conveyors + Power Tools + Specialized Stations,Flow Efficiency,Logistics,Automobiles/Appliances
ENV-12,REFINERY_PLANT,ENVIRONMENT,ELECTRIC,HYBRID,[ENV-07;IND-45;IND-68],Massive scale chemical plumbing + Heat,Continuous Flow,Chemical Eng,Fuel/Plastics
ENV-MED,SURGICAL_THEATRE,ENVIRONMENT,ELECTRIC,HYBRID,[ENV-07;IND-13;ELEC-07],Sterile room + Bright Light + Anesthesia,Asepsis,Life Support,Medicine/Surgery
ENV-AERO,AEROSPACE_HANGAR,ENVIRONMENT,ELECTRIC,HYBRID,[ENV-11;IND-30;MAT-02],Massive open space + Gantries + Precision tools,Systems Integration,Assembly,Aircraft/Rockets
ELEC-07,LIGHTBULB,INVENTION,ELECTRIC,HYBRID,[ENV-10;SCI-08;ELEC-06;IND-38],Filament glows in vacuum without burning,Joule Heating/Incandescence,Glassblowing/Vacuum Sealing,Lighting/Night Shift
ELEC-08,AC_MOTOR,MACHINE,ELECTRIC,HYBRID,[ENV-10;SCI-11;ELEC-06],Rotating magnetic field pulls rotor (Tesla),Electromagnetic Induction,Coiling/Lamination,Industrial Power/Appliances
ELEC-09,POWER_GRID,INFRASTRUCTURE,ELECTRIC,HYBRID,[ELEC-08;ELEC-14;IND-44],High voltage travels far; low voltage enters home,Transformer/Transmission,Wiring/Substations,Universal Energy Access
ELEC-10,TELEPHONE,MACHINE,ELECTRIC,HYBRID,[ENV-10;ELEC-04;SCI-11],Sound vibrates membrane -> current -> sound,Analog Signal,Micro-mechanics,Voice Communication
ELEC-11,VACUUM_TUBE,COMPONENT,ELECTRIC,HYBRID,[ENV-10;ELEC-07;SCI-16],Flow of electrons controlled in vacuum (Diode/Triode),Thermionic Emission,Glass sealing,Amplification/Logic Switches
ELEC-12,RADIO,MACHINE,ELECTRIC,HYBRID,[ENV-10;ELEC-11;SCI-11;ELEC-21],Electromagnetic waves carry signal without wires,Resonance/Modulation,Circuitry/Antennas,Mass Media/Communication
ELEC-13,RADAR,MACHINE,ELECTRIC,HYBRID,[ENV-10;ELEC-12;ELEC-19;MAT-08],Radio waves bounce off metal objects,Reflection/Doppler Effect,Pulse timing,Warfare/Navigation
ELEC-14,TRANSFORMER,MACHINE,ELECTRIC,HYBRID,[ENV-10;SCI-11;IND-44;IND-36],Two coils on iron core step voltage up or down,Mutual Induction,Lamination/Winding,Long Distance Power/Safety
ELEC-15,RELAY,COMPONENT,ELECTRIC,HYBRID,[ENV-10;ELEC-03;IND-39],Low power signal switches high power circuit,Electromechanical Switching,Springs/Contacts,Automation/Telephone Exchange
ELEC-16,SOLDERING,PROCESS,ELECTRIC,HYBRID,[ENV-10;PRIM-16;IND-18;ELEC-04],Lead-Tin alloy melts to join wires permanently,Wetting/Conductivity,Heating/Flux,Electronics Assembly/Reliability
ELEC-17,FUSE_BREAKER,COMPONENT,ELECTRIC,HYBRID,[ENV-10;ELEC-06;SCI-07;PRIM-14],Wire melts or switch trips when current is too high,Joule Heating/Thermal Expansion,Calibration,Fire Safety/Grid Protection
ELEC-18,PCB_BOARD,COMPONENT,ELECTRIC,HYBRID,[ENV-10;IND-18;MAT-13;IND-21],Copper circuits etched onto plastic board,Photolithography,Etching/Soldering,Mass Electronics/Miniaturization
ELEC-19,CRT_SCREEN,COMPONENT,ELECTRIC,HYBRID,[ENV-10;ELEC-11;SCI-16;ELEC-03],Electron beam paints image on phosphorescent glass,Thermionic Emission/Deflection,Vacuum Glass,TV/Radar/Monitors
ELEC-20,MAGNETIC_TAPE,MEDIA,ELECTRIC,HYBRID,[ENV-10;MAT-01;ELEC-03;IND-19],Plastic film coated with iron oxide stores signal,Magnetic Hysteresis,Coating/Spooling,Audio/Video/Data Storage
ELEC-21,TUNER_CIRCUIT,COMPONENT,ELECTRIC,HYBRID,[ENV-10;ELEC-01;ELEC-03;SCI-11],Capacitor + Inductor filter specific frequency,Resonance,Circuit Design,Radio/TV/Wireless Comms
ELEC-22,SONAR,MACHINE,ELECTRIC,HYBRID,[ENV-10;ELEC-10;SCI-06;WAR-03],Sound pulses map underwater objects,Acoustics/Echo,Piezoelectricity,Submarine Hunting/Mapping
IND-46,ASSEMBLY_LINE,METHOD,ELECTRIC,HYBRID,[ENV-11;IND-43;ELEC-08;IND-50],Moving conveyor brings work to worker,Flow Efficiency,Logistics/Taylorism,Mass Production (Ford)
IND-47,THERMAL_CRACKING,PROCESS,ELECTRIC,HYBRID,[ENV-12;IND-45;SCI-07;SCI-10],Heat and pressure break heavy oil molecules into gasoline,Molecular Cracking,High Pressure Vessels,Aviation Fuel/Cheap Gasoline
IND-48,MICROMETER,TOOL,ELECTRIC,HYBRID,[ENV-08;S-07;IND-39;PRIM-55],Screw thread translates rotation into precise linear measurement,Metrology/Precision,Grinding,Quality Control/Interchangeability
IND-49,MILLING_MACHINE,MACHINE,ELECTRIC,HYBRID,[ENV-08;IND-05;IND-39;IND-06],Rotating cutter removes metal from moving workpiece,Subtractive Manufacturing,Casting/Gearing,Flat Surfaces/Gears/Complex Shapes
IND-50,SCREW_THREAD_STD,STANDARD,ELECTRIC,HYBRID,[META-05;IND-06;IND-43;IND-48],Universal angle and pitch for fasteners,Standardization,Machining,Global Repair/Assembly
IND-51,HYDRAULICS,SYSTEM,ELECTRIC,HYBRID,[ENV-08;SCI-07;IND-04;IND-59],Fluid under pressure transmits force and motion,Pascal's Law,Sealing/Pumping,Heavy Machinery/Aircraft Controls
IND-52,THRESHING_MACHINE,MACHINE,ELECTRIC,HYBRID,[ENV-00_FIELD;IND-06;IND-05;PRIM-32],Rotating drum separates grain from stalk/chaff,Centrifugal Force/Impact,Mechanization,Industrial Agriculture
IND-53,COMBINE_HARVESTER,MACHINE,ELECTRIC,HYBRID,[ENV-00_FIELD;IND-40;IND-52;IND-24],Reaping/threshing/winnowing in one machine,Process Integration,Assembly,Mass Food Production
IND-54,GAS_TRACTOR_PTO,MACHINE,ELECTRIC,HYBRID,[ENV-00_FIELD;IND-24;IND-42;IND-23],Lightweight tractor transfers engine power to tools,Torque Transmission,Internal Combustion,Universal Farm Power
IND-55,GRAIN_ELEVATOR,INFRASTRUCTURE,ELECTRIC,HYBRID,[ENV-00_FIELD;IND-61;IND-05;IND-15],Vertical conveyor stores grain in concrete silos,Bulk Handling/Aeration,Civil Engineering,Global Food Logistics
IND-56,SCREW_PROPELLER,MACHINE,ELECTRIC,HYBRID,[ENV-05;S-07;IND-05;SCI-06],Twisted blades push water backwards to drive ship,Hydrodynamics/Action-Reaction,Casting/Balancing,Ocean Shipping/Warships
IND-57,STEAM_TURBINE,MACHINE,ELECTRIC,HYBRID,[ENV-08;IND-05;SCI-07;IND-06],High pressure steam spins blades directly,Aerodynamics/Rotational Force,Precision Machining,Fast Ships/Power Plants
IND-58,WATERTIGHT_BULKHEAD,STRUCTURE,ELECTRIC,HYBRID,[ENV-05;IND-08;MAT-04;SCI-01],Steel walls divide ship into sealed compartments,Buoyancy Control,Riveting/Welding,Unsinkable Ships/Safety
