ID,Name,Type,Era,Parents,Trigger,Principle,Tech_Make,Tech_Use
ENV-13,CLEAN_ROOM,ENVIRONMENT,DIGITAL,[ENV-10;IND-31;URB-01],Dust destroys microchips; Need absolute purity,Air Filtration/Positive Pressure,HEPA Filters,Semiconductor Mfg
ENV-14,SERVER_FARM,ENVIRONMENT,DIGITAL,[ENV-10;URB-01;ELEC-09],Factory for computing; Concentrated power & cooling,Heat Dissipation/Density,Rack Mounting,Cloud/AI Training
ENV-15,DEV_IDE,ENVIRONMENT,DIGITAL,[ENV-14;DIG-12;DIG-11],Virtual environment for writing code,Abstraction/Virtualization,Software Engineering,Building Apps/AI
ENV-16,BIO_LAB,ENVIRONMENT,DIGITAL,[ENV-13;SCI-12;DIG-40],Sterile environment with sequencers,Genetic Engineering,Sterility,CRISPR/Vaccines
ENV-SCI-05,SIMULATION_GRID,ENVIRONMENT,DIGITAL,[ENV-14;DIG-40;SCI-05],Modeling complex systems in silico,Simulation,High Compute,Climate Models/Nuclear Sim
DIG-00,MOORES_LAW,OBSERVATION,DIGITAL,[ENV-13;DIG-01],Transistor count doubles every 2 years,Exponential Growth,Lithography,Roadmap for Industry
DIG-01,TRANSISTOR,COMPONENT,DIGITAL,[ENV-13;ELEC-11;SCI-18],Vacuum tubes are too hot/big; Need cold switch,Semiconductivity/Quantum Tunneling,Doping/Crystal Growth,Logic Gates/Amplification
DIG-02,INFORMATION_THEORY,DISCOVERY,DIGITAL,[ENV-SCI-04;ELEC-04],Data can be measured in bits; Noise is error,Entropy/Redundancy,Math,Compression/Error Correction
DIG-03,LOGIC_GATE,COMPONENT,DIGITAL,[ENV-10;DIG-01],Physical switch representing Boolean logic (AND/OR/NOT),Boolean Algebra,Circuit Design,Computing
DIG-04,INTEGRATED_CIRCUIT,COMPONENT,DIGITAL,[ENV-13;DIG-01;ELEC-18],Many transistors on one silicon chip,Miniaturization,Photolithography,Computers
DIG-05,MOSFET,COMPONENT,DIGITAL,[ENV-13;DIG-01;SCI-18],Field-effect transistor allows high density scaling,Field Effect,Oxidation/Etching,Modern CPUs/Memory
DIG-07,SILICON_WAFER,MATERIAL,DIGITAL,[ENV-13;MAT-06;SCI-13],Purest crystal needed for chips,Czochralski Process,Crystal Pulling/Slicing,Substrate for ICs
DIG-08,MICROPROCESSOR,MACHINE,DIGITAL,[ENV-13;DIG-04;DIG-05],CPU on a single chip; Programmable instructions,Von Neumann Architecture,VLSI Design,Personal Computing
DIG-09,RAM_MEMORY,COMPONENT,DIGITAL,[ENV-13;DIG-05;ELEC-01],Fast temporary storage for CPU,Capacitance/Switching,Lithography,Working Memory
DIG-10,HARD_DISK_DRIVE,MACHINE,DIGITAL,[ENV-13;ELEC-20;IND-23],Spinning magnetic platters store massive data,Magnetic Hysteresis/Aerodynamics,Precision Machining,Data Storage
