ID,Name,Description,Level,Parent_Group,Req_Science,Req_Design,Req_Resource,Req_Material,Req_Infrastructure,Req_Process,Req_Artifact,Req_Society
DIG-08,MICROPROCESSOR,CPU on a single chip; Programmable instructions | Von Neumann Architecture,SPECIFIC,NULL,,,,,ENV-13,,DIG-04;DIG-05,
DIG-10,HARD_DISK_DRIVE,Spinning magnetic platters store massive data | Magnetic Hysteresis/Aerodynamics,SPECIFIC,NULL,,,,,ENV-13;IND-23,,ELEC-20,
DIG-13,MOUSE_INTERFACE,Hand movement controls screen cursor | X-Y Mapping,SPECIFIC,NULL,,,,,ENV-10;IND-23,,ELEC-10,
DIG-17,MODEM,Digital signals sent over analog phone lines | Modulation/Demodulation,SPECIFIC,NULL,,,,,ENV-10,,ELEC-10;DIG-02,
DIG-27,GPS_SATELLITE,Time dilation correction allows precise location | Relativity/Triangulation,SPECIFIC,NULL,SCI-17,,,,ENV-13,,ELEC-12,
DIG-32,SMARTPHONE,Computer + Radio + Touchscreen in pocket | Convergence,SPECIFIC,NULL,,,,,ENV-11,,DIG-08;DIG-26,
DIG-45,CNC_MACHINE,Computer controls cutting tools precisely | G-Code/Automation,SPECIFIC,NULL,,,,,ENV-08;IND-06;IND-48,,DIG-08,
DIG-46,3D_PRINTING,Building objects layer by layer | Additive Manufacturing,SPECIFIC,NULL,,,,MAT-08,ENV-10,,DIG-45,
DIG-48,DRONE_QUADCOPTER,Stable flight via computer adjustment of 4 props | Feedback Loop/PID Control,SPECIFIC,NULL,,,,,ENV-10,,DIG-47;DIG-31,
DIG-49,INDUSTRIAL_ROBOT,Programmable arm for repetitive tasks | Kinematics,SPECIFIC,NULL,,,,,ENV-11;IND-51,,DIG-45,
DIG-50,VIRTUAL_REALITY,Stereo screens + Motion tracking trick brain | Stereoscopy/Latency reduction,SPECIFIC,NULL,,,,,ENV-15,,DIG-29;DIG-47,
DIG-54,WIND_TURBINE_MOD,Aerodynamic blades + Generator + Grid Sync | Aerodynamics/Induction,SPECIFIC,NULL,,,,PRIM-37,ENV-SITE-B,,AV-01,
DIG-62,IOT_SENSOR,Everyday objects connected to net | Telemetry,SPECIFIC,NULL,,,,,ENV-10,,DIG-35;DIG-47,
DIG-64,QUANTUM_COMPUTER,Qubits exist in superposition to solve specific math | Superposition/Entanglement,SPECIFIC,NULL,SCI-18,,,,ENV-13,,DIG-02,
DIG-65,BCI_INTERFACE,Direct link between brain signals and computer | Neural Decoding,SPECIFIC,NULL,,,,,ENV-16,,MED-07;DIG-42,
DIG-66,REUSABLE_ROCKET,Rocket lands vertically to fly again | Thrust Vectoring/Guidance,SPECIFIC,NULL,,,,,ENV-SITE-B,,AV-04;DIG-45,
ELEC-08,AC_MOTOR,Rotating magnetic field pulls rotor (Tesla) | Electromagnetic Induction,SPECIFIC,NULL,SCI-11,,,,ENV-08,,ELEC-06,
ELEC-10,TELEPHONE,Sound vibrates membrane -> current -> sound | Analog Signal,SPECIFIC,NULL,,,,,ENV-10,,ELEC-04,
ELEC-12,RADIO,Electromagnetic waves carry signal without wires | Resonance/Modulation,SPECIFIC,NULL,SCI-11,,,,ENV-10,,ELEC-11,
ELEC-13,RADAR,Radio waves bounce off metal objects | Reflection/Doppler Effect,SPECIFIC,NULL,,,,MAT-08,ENV-10,,ELEC-12,
ELEC-14,TRANSFORMER,Two coils on iron core step voltage up or down | Mutual Induction,SPECIFIC,NULL,SCI-11,,,,ENV-08;IND-44,,,
ELEC-22,SONAR,Sound pulses map underwater objects | Acoustics/Echo,SPECIFIC,NULL,SCI-06,,,,ENV-10,,ELEC-10,
ELEC-25,OSCILLOSCOPE,Need to see electricity change over time (Waves) | Electron Deflection,SPECIFIC,NULL,,,,,ENV-10,,ELEC-11;ELEC-19,
IND-49,MILLING_MACHINE,Rotating cutter removes metal from moving workpiece | Subtractive Manufacturing,SPECIFIC,NULL,,,,,ENV-08;IND-05,,,
IND-52,THRESHING_MACHINE,Rotating drum separates grain from stalk/chaff | Centrifugal Force/Impact,SPECIFIC,NULL,,,,,ENV-11;IND-06,,,
IND-53,COMBINE_HARVESTER,Reaping/threshing/winnowing in one machine | Process Integration,SPECIFIC,NULL,,,,,ENV-11;IND-40;IND-52,,,
IND-54,GAS_TRACTOR_PTO,Lightweight tractor transfers engine power to tools | Torque Transmission,SPECIFIC,NULL,,,,,ENV-11;IND-24,,,
IND-56,SCREW_PROPELLER,Twisted blades push water backwards to drive ship | Hydrodynamics/Action-Reaction,SPECIFIC,NULL,SCI-06,,,,ENV-08;S-07,,,
IND-57,STEAM_TURBINE,High pressure steam spins blades directly | Aerodynamics/Rotational Force,SPECIFIC,NULL,SCI-07,,,,ENV-08;IND-05,,,
IND-60,PNEUMATIC_TIRE,Compressed air inside rubber tube absorbs shock | Air Suspension,SPECIFIC,NULL,SCI-07,,,,ENV-12;IND-17,,,
IND-61,CONVEYOR_BELT,Rubberized fabric loop moves bulk material continuously | Friction Drive,SPECIFIC,NULL,,,,,ENV-11;IND-17,,,
IND-64,AUTO_COUPLER,Steel knuckles lock automatically on impact | Kinematics/Casting,SPECIFIC,NULL,,,,,ENV-08;IND-19;S-02,,,
IND-65,DIESEL_ELECTRIC,Diesel engine turns generator -> motors drive wheels | Power Transmission,SPECIFIC,NULL,,,,,ENV-11;IND-24,,ELEC-08,
IND-67,ROTARY_DRILLING,Rotating tricone bit crushes rock; Mud pumps remove debris | Abrasion/Hydrostatics,SPECIFIC,NULL,,,,,ENV-SITE-B;IND-05;IND-39,,,
IND-69,BLOWOUT_PREVENTER,Hydraulic rams seal well against extreme pressure | Hydrostatics/Shear Force,SPECIFIC,NULL,,,,,ENV-08;IND-51;IND-59,,,
IND-71,CHAINSAW,Engine drives cutting chain around guide bar | Portable Power,SPECIFIC,NULL,,,,PRIM-56,ENV-08;IND-24,,,
IND-73,BAND_SAW_MILL,Continuous steel loop blade cuts logs efficiently | Continuous Cutting,SPECIFIC,NULL,,,,PRIM-56,ENV-11;IND-19,,,
IND-74,INJECTION_MOLDING,Screw forces molten plastic into mold under high pressure | Plasticity/Thermal Cycle,SPECIFIC,NULL,,,,MAT-08,ENV-11;IND-51,,,
AV-02,AIRPLANE_PROPELLER,Light engine + Wings + Bicycle tech | Lift/Thrust,SPECIFIC,NULL,,,,,ENV-11;IND-24,,AV-01,
AV-03,GYROSCOPE,Spinning wheel resists tilting | Conservation of Angular Momentum,SPECIFIC,NULL,SCI-06,,,,ENV-08;IND-23,,,
