ID,Name,Description,Level,Parent_Group,Req_Science,Req_Design,Req_Resource,Req_Material,Req_Infrastructure,Req_Process,Req_Artifact,Req_Society
DIG-16,OPTICAL_FIBER,Light carries data through glass strands | Total Internal Reflection,SPECIFIC,NULL,SCI-02,,,PRIM-28,ENV-12,,,
DIG-18,ETHERNET,Standard for connecting computers locally | Packet Collision Detection,SPECIFIC,NULL,,,,,ENV-10,,ELEC-14;DIG-02,
DIG-19,ARPANET,Packet switching connects remote computers | Decentralization/Packet Switching,SPECIFIC,NULL,,,,,ENV-14,,ELEC-10;DIG-08,
DIG-22,DNS_SYSTEM,Phonebook for the internet (IP -> Name) | Hierarchical Database,SPECIFIC,NULL,,,,,ENV-14;IND-43,,DIG-20,
DIG-23,WORLD_WIDE_WEB,Hypertext links documents globally | Hyperlinking/HTTP,SPECIFIC,NULL,,,,,ENV-15,,DIG-20;DIG-14,
DIG-26,CELLULAR_NETWORK,Hexagonal zones allow frequency reuse | Radio Handover,SPECIFIC,NULL,,,,,ENV-SITE-B,,ELEC-12;DIG-08,
DIG-35,WIFI,High-speed local wireless data | Spread Spectrum,SPECIFIC,NULL,,,,,ENV-10,,ELEC-12;DIG-18,
DIG-37,CLOUD_COMPUTING,Renting computing power over the net | Virtualization/Economies of Scale,SPECIFIC,NULL,,,,,ENV-14,,DIG-23;DIG-10,
DIG-58,MRNA_VACCINE,Instruction code for cells to make spike protein | Genetic Coding,SPECIFIC,NULL,,,,,ENV-16,,DIG-57;DIG-40,
DIG-63,5G_NETWORK,High freq waves for massive bandwidth/low latency | Beamforming/MIMO,SPECIFIC,NULL,,,,,ENV-SITE-B,,DIG-26;ELEC-12,
ELEC-07,LIGHTBULB,Filament glows in vacuum without burning | Joule Heating/Incandescence,SPECIFIC,NULL,SCI-08,,,,ENV-10;IND-38,,,
ELEC-09,POWER_GRID,High voltage travels far; low voltage enters home | Transformer/Transmission,SPECIFIC,NULL,,,,,ENV-SITE-B,,ELEC-08;ELEC-14,
IND-55,GRAIN_ELEVATOR,Vertical conveyor stores grain in concrete silos | Bulk Handling/Aeration,SPECIFIC,NULL,,,,,ENV-SITE-B;IND-61;IND-15,,,
IND-58,WATERTIGHT_BULKHEAD,Steel walls divide ship into sealed compartments | Buoyancy Control,SPECIFIC,NULL,SCI-01,,,MAT-04,ENV-SITE-B,,,
IND-66,ELECTRIC_TRACTION,Trains powered by overhead wires or third rail | External Power,SPECIFIC,NULL,,,,,ENV-SITE-B,,ELEC-09;ELEC-08,
IND-68,PIPELINE,Welded steel tubes transport fluids over continents | Fluid Dynamics,SPECIFIC,NULL,,,,MAT-04,ENV-SITE-B;IND-36;IND-75,,,
AV-06,MONOCOQUE,Outer skin carries the structural load (Eggshell) | Stress Distribution,SPECIFIC,NULL,,,,MAT-02;MAT-04,ENV-11,,,
URB-02,CURTAIN_WALL,Non-structural glass skin hanging on steel frame | Load Distribution,SPECIFIC,NULL,,,,MAT-02,ENV-SITE-B;IND-19,,,
AGRI-03,COLD_CHAIN,Refrigerated containers/trucks/warehouses keep food fresh globally | Thermodynamics/Logistics,SPECIFIC,NULL,,,,,ENV-11;IND-25,,,SOC-16
ECON-03,GLOBAL_TRADE_NET,Standardized shipping and communication | Comparative Advantage,SPECIFIC,NULL,,,,,ENV-SITE-B;IND-08,,ELEC-04,
PRIM-11,CERAMICS,Fire turns clay into stone | Sintering,SPECIFIC,NULL,,,,,ENV-03,,,
PRIM-34,ARCH_KEYSTONE,Wedge stones hold up wall by gravity | Compression,SPECIFIC,NULL,,,,PRIM-09,ENV-SITE-A,,,
PRIM-39,MOVABLE_TYPE,Metal letters in frame | Standardization,SPECIFIC,NULL,,,,PRIM-26,ENV-04,,,
PRIM-42,AXLE_GREASE,Animal fat reduces friction on axle | Lubrication,SPECIFIC,NULL,,,,PRIM-17,ENV-01,,,
PRIM-43,ROAD_PAVED,Stones placed on dirt prevent mud | Surface Hardening,SPECIFIC,NULL,,,F-01,,ENV-SITE-A,,,SOC-04
IND-12,CANNED_FOOD,Boiled food sealed in glass/tin | Pasteurization/Vacuum,SPECIFIC,NULL,,,,PRIM-28,ENV-07,,,
IND-16,DYNAMITE,Stabilized explosive (Nitroglycerin + Clay) | Chemical Stability,SPECIFIC,NULL,,,,PRIM-24,ENV-07,,,
IND-21,PHOTOGRAPHY,Light darkens silver chemicals | Photochemistry,SPECIFIC,NULL,SCI-04,,,,ENV-07,,,
IND-31,SANITATION_SYSTEM,Pumps and pipes remove waste | Fluid Dynamics,SPECIFIC,NULL,SCI-12,,,,ENV-SITE-B;IND-04,,,
IND-32,GAS_LIGHTING,Coal gas piped to lamps | Pyrolysis,SPECIFIC,NULL,,,,,ENV-SITE-B;IND-03,,,
IND-34,CENTRAL_HEATING,Boiler steam circulated in pipes | Thermodynamics,SPECIFIC,NULL,,,,,ENV-SITE-B;IND-05,,,
IND-35,BARBED_WIRE,Steel wire with points | Area Denial,SPECIFIC,NULL,,,,,ENV-08;IND-38,,,
ELEC-02,BATTERY_VOLTA,Stacked metals + Acid create flow | Chemical Potential -> Electrical,SPECIFIC,NULL,SCI-01,,,,ENV-07,,,
