ID,Name,Description,Level,Parent_Group,Req_Science,Req_Design,Req_Resource,Req_Material,Req_Infrastructure,Req_Process,Req_Artifact,Req_Society
DIG-00,MOORES_LAW,Transistor count doubles every 2 years | Exponential Growth,SPECIFIC,NULL,,,,,ENV-13,,DIG-01,
DIG-01,TRANSISTOR,Vacuum tubes are too hot/big; Need cold switch | Semiconductivity/Quantum Tunneling,SPECIFIC,NULL,SCI-18,,,,ENV-13,,ELEC-11,
DIG-03,LOGIC_GATE,Physical switch representing Boolean logic (AND/OR/NOT) | Boolean Algebra,SPECIFIC,NULL,,,,,ENV-10,,DIG-01,
DIG-04,INTEGRATED_CIRCUIT,Many transistors on one silicon chip | Miniaturization,SPECIFIC,NULL,,,,,ENV-13,,DIG-01;ELEC-18,
DIG-05,MOSFET,Field-effect transistor allows high density scaling | Field Effect,SPECIFIC,NULL,SCI-18,,,,ENV-13,,DIG-01,
DIG-09,RAM_MEMORY,Fast temporary storage for CPU | Capacitance/Switching,SPECIFIC,NULL,,,,,ENV-13,,DIG-05;ELEC-01,
DIG-12,OPERATING_SYSTEM,Managing hardware resources for software | Resource Allocation/Scheduling,SPECIFIC,NULL,,,,,ENV-14,,DIG-11;DIG-08,
DIG-15,LASER_DIODE,Semiconductor emits coherent light | Stimulated Emission,SPECIFIC,NULL,SCI-18,,,,ENV-13,,DIG-07,
DIG-28,CCD_SENSOR,Silicon chip converts light to digital pixels | Photoelectric Effect,SPECIFIC,NULL,SCI-18,,,,ENV-13,,DIG-05,
DIG-29,LCD_SCREEN,Liquid crystals block light when charged | Polarization,SPECIFIC,NULL,,,,MAT-01,ENV-13,,ELEC-06,
DIG-30,FLASH_MEMORY,Trapping electrons in floating gate (No moving parts) | Quantum Tunneling,SPECIFIC,NULL,SCI-18,,,,ENV-13,,DIG-05,
DIG-31,LITHIUM_ION_BATTERY,Lightweight reversible chemical storage | Intercalation,SPECIFIC,NULL,SCI-09,,,,ENV-12,,ELEC-02,
DIG-33,CAPACITIVE_TOUCH,Finger disrupts electrical field on glass | Capacitance Sensing,SPECIFIC,NULL,,,,,ENV-13,,ELEC-01;DIG-29,
DIG-34,APP_STORE,Centralized market for software distribution | Platform Economy,SPECIFIC,NULL,,,,,ENV-14,,DIG-32;DIG-25,
DIG-38,OPEN_SOURCE,Code shared freely for improvement | Collaborative Development,SPECIFIC,NULL,,,,,ENV-15,,DIG-11,
DIG-39,SOCIAL_NETWORK,Graph of human connections online | Network Effect,SPECIFIC,NULL,SCI-14,,,,ENV-14,,DIG-23,
DIG-41,GPU,Parallel processing for graphics (and later AI) | SIMD/Parallelism,SPECIFIC,NULL,,,,,ENV-13,,DIG-04;ELEC-19,
DIG-47,MEMS_SENSOR,Micro-machines etched on silicon (Accelerometer) | Micro-machining,SPECIFIC,NULL,,,,,ENV-13;IND-48,,DIG-04,
DIG-51,BLOCKCHAIN,Distributed ledger without central authority | Cryptography/Consensus,SPECIFIC,NULL,,,,,ENV-14,,DIG-89;DIG-25,
DIG-53,SOLAR_PV_CELL,Light knocks electrons off silicon | Photovoltaic Effect,SPECIFIC,NULL,SCI-18,,,,ENV-13,,DIG-01,
DIG-55,LED_LIGHTING,Electroluminescence is 90% efficient | Quantum Bandgap,SPECIFIC,NULL,SCI-18,,,,ENV-13,,DIG-15,
DIG-56,OLED_SCREEN,Organic pixels emit their own light | Electroluminescence,SPECIFIC,NULL,,,,MAT-01,ENV-13,,DIG-55,
DIG-60,E_COMMERCE,Buying/Selling over network | Secure Transaction,SPECIFIC,NULL,,,,,ENV-14,,DIG-23;DIG-25,
DIG-61,RIDE_SHARING,Matching drivers and riders via algo | Gig Economy,SPECIFIC,NULL,,,,,ENV-14,,DIG-32;DIG-27,
DIG-73,HBM_MEMORY,Stacked memory chips for massive bandwidth | 3D Stacking,SPECIFIC,NULL,,,,,ENV-13,,DIG-09;DIG-04,
DIG-79,KERNEL,The core program managing CPU/Memory/Devices | Resource Arbitration,SPECIFIC,NULL,,,,,ENV-15,,DIG-08;DIG-09,
DIG-81,COPYLEFT_LICENSE,Legal hack ensuring code remains free (GPL) | Viral Licensing,SPECIFIC,NULL,,,,,ENV-SCI-02;S-10,,,SOC-17
DIG-90,DAO_ORG,Organization governed by code not managers | Voting/Smart Contracts,SPECIFIC,NULL,,,,,ENV-15,,DIG-52,SOC-20
DIG-92,DIGITAL_ASSET_TOKEN,Making digital data scarce and ownable (NFT/Coins) | Digital Scarcity,SPECIFIC,NULL,,,,,ENV-14,,DIG-51;DIG-25,
DIG-94,LIDAR_LASER,Measuring distance via light reflection time | Time of Flight,SPECIFIC,NULL,,,,,ENV-10,,DIG-15;ELEC-13,
ELEC-11,VACUUM_TUBE,Flow of electrons controlled in vacuum (Diode/Triode) | Thermionic Emission,SPECIFIC,NULL,SCI-16,,,,ENV-10,,ELEC-07,
ELEC-15,RELAY,Low power signal switches high power circuit | Electromechanical Switching,SPECIFIC,NULL,,,,,ENV-10,,ELEC-03,
ELEC-17,FUSE_BREAKER,Wire melts or switch trips when current is too high | Joule Heating/Thermal Expansion,SPECIFIC,NULL,,,,,ENV-10,,ELEC-06,
ELEC-18,PCB_BOARD,Copper circuits etched onto plastic board | Photolithography,SPECIFIC,NULL,,,,MAT-13,ENV-10;IND-18,,,
ELEC-19,CRT_SCREEN,Electron beam paints image on phosphorescent glass | Thermionic Emission/Deflection,SPECIFIC,NULL,SCI-16,,,,ENV-10,,ELEC-11,
ELEC-20,MAGNETIC_TAPE,Plastic film coated with iron oxide stores signal | Magnetic Hysteresis,SPECIFIC,NULL,,,,MAT-01,ENV-10,,ELEC-03,
ELEC-21,TUNER_CIRCUIT,Capacitor + Inductor filter specific frequency | Resonance,SPECIFIC,NULL,,,,,ENV-10,,ELEC-01;ELEC-03,
