ID,Name,Description,Level,Parent_Group,Req_Science,Req_Design,Req_Resource,Req_Material,Req_Infrastructure,Req_Process,Req_Artifact,Req_Society
DIG-14,GUI_WINDOWS,Visual metaphors (Desktop/Files) instead of text | Visual Abstraction,SPECIFIC,NULL,,,,,ENV-15,,DIG-13;DIG-12,
DIG-21,EMAIL,Digital letters sent instantly | Asynchronous Comms,SPECIFIC,NULL,,,,,ENV-15,,DIG-19,
DIG-25,RSA_ENCRYPTION,Public/Private keys secure data | Prime Number Factorization,SPECIFIC,NULL,SCI-05,,,,ENV-SCI-04,,DIG-02,
DIG-40,BIG_DATA,Analyzing datasets too large for one computer | MapReduce/Parallelism,SPECIFIC,NULL,,,,,ENV-14,,DIG-37;DIG-10,
DIG-42,NEURAL_NETWORK,Software mimicking brain neurons learns from data | Backpropagation,SPECIFIC,NULL,SCI-14;SCI-05,,,,ENV-15,,,
DIG-43,DEEP_LEARNING,Many-layered networks find complex patterns | Gradient Descent,SPECIFIC,NULL,,,,,ENV-14,,DIG-42;DIG-41,
DIG-44,TRANSFORMER_ARCH,Attention mechanism predicts next token contextually | Self-Attention,SPECIFIC,NULL,,,,,ENV-15,,DIG-43;DIG-02,
DIG-52,SMART_CONTRACT,Code that executes automatically when conditions met | Trustless Execution,SPECIFIC,NULL,,,,,ENV-15;ENV-13,,DIG-51,
DIG-59,STREAMING_VIDEO,Buffering data allows instant play | Compression/Bandwidth,SPECIFIC,NULL,,,,,ENV-14,,DIG-23;DIG-02,
DIG-67,DIGITAL_TWIN,Virtual replica of physical system for simulation | Simulation,SPECIFIC,NULL,,,,,ENV-SCI-05,,DIG-45;DIG-40,
DIG-68,VPN,Encrypted tunnel over public net | Tunneling,SPECIFIC,NULL,,,,,ENV-15,,DIG-20;DIG-25,
DIG-69,CONTAINERIZATION,Software packaged with dependencies (Docker) | Standardization,SPECIFIC,NULL,,,,,ENV-15;IND-43,,DIG-12,
DIG-71,CUDA_GPGPU,Using graphics chips for general math/physics | Parallel Computing,SPECIFIC,NULL,,,,,ENV-15,,DIG-41;DIG-11,
DIG-76,SEMANTIC_WEB,Structuring data so machines can understand relationships (RDF/Graph) | Linked Data,SPECIFIC,NULL,,,,,ENV-15,,DIG-09;DIG-02,
DIG-78,HYPERTEXT,Text that links to other text non-linearly | Associative Memory,SPECIFIC,NULL,,,,PRIM-23,ENV-15;ENV-13,,,
DIG-82,UNIX_PHILOSOPHY,Small programs connected by data pipes | Modularity/Composability,SPECIFIC,NULL,,,,,ENV-15;S-06,,DIG-12,
DIG-83,VIRTUAL_MACHINE,Emulating a computer inside a computer | Abstraction/Isolation,SPECIFIC,NULL,,,,,ENV-15;ENV-13,,DIG-79,
DIG-84,BACKPROPAGATION,Algorithm to minimize error by adjusting weights backwards | Gradient Descent,SPECIFIC,NULL,SCI-05,,,,ENV-SCI-05,,DIG-02,
DIG-85,REINFORCEMENT_LEARNING,Agent learns by trial and error to maximize reward | Markov Decision Process,SPECIFIC,NULL,SCI-05,,,,ENV-SCI-05,,DIG-02,
DIG-87,SCIENTIFIC_AI,AI solving fundamental science problems (AlphaFold) | Geometric Deep Learning,SPECIFIC,NULL,,,,,ENV-SCI-05,,DIG-43;DIG-41,
DIG-88,GENERATIVE_ADVERSARIAL_NET,Two networks compete (Creator vs Critic) to make realistic data | Game Theory,SPECIFIC,NULL,,,,,ENV-SCI-05;S-10,,DIG-43,
DIG-89,DISTRIBUTED_CONSENSUS,Solving Byzantine Generals Problem (PoW/PoS) | Game Theory/Incentives,SPECIFIC,NULL,,,,,ENV-14;S-10,,DIG-19,
DIG-91,ZERO_KNOWLEDGE_PROOF,Proving you know a secret without revealing it | Advanced Math,SPECIFIC,NULL,SCI-05,,,,ENV-SCI-04,,DIG-25,
IND-46,ASSEMBLY_LINE_METHOD,Moving conveyor brings work to worker | Flow Efficiency,SPECIFIC,NULL,,,,,ENV-11,,,
AGRI-01,GREEN_REVOLUTION,Breeding dwarf varieties of wheat/rice that accept high fertilizer | Selective Breeding/Genetics,SPECIFIC,NULL,SCI-14;SCI-20,,,,ENV-SCI-03,,,
GEO-03,SOIL_MECHANICS,Calculating load-bearing capacity of earth | Physics of Granular Materials,SPECIFIC,NULL,SCI-06,,,,ENV-SITE-B;IND-30,,,
GEO-04,RADIOMETRIC_DATING,Measuring isotopes to determine absolute age of rocks | Radioactive Decay,SPECIFIC,NULL,SCI-16;SCI-09,,,,ENV-SCI-03,,,
SCI-21,SEISMIC_SURVEY,Sound waves map underground geology | Reflection Seismology,SPECIFIC,NULL,,,,,ENV-SITE-B;IND-16,,ELEC-10,
SCI-01,SCIENTIFIC_METHOD,Books spread knowledge; Lenses show invisible things | Empiricism/Verification,SPECIFIC,NULL,,,,PRIM-29,ENV-09,,,INST-01
SCI-05,CALCULUS,Math for changing rates (Velocity/Acceleration) | Integration/Differentiation,SPECIFIC,NULL,,,,PRIM-31,ENV-SCI-04,,,
SCI-26,CHROMATOGRAPHY,Need to separate complex mixtures into pure components | Capillary Action/Adsorption,SPECIFIC,NULL,SCI-09,,,PRIM-23,ENV-SCI-06,,,
SCI-29,X_RAY_CRYSTALLOGRAPHY,Shooting X-rays through crystal creates pattern | Diffraction,SPECIFIC,NULL,SCI-16,,,,ENV-SCI-03;IND-21,,,
IND-43,INTERCHANGEABLE_PARTS,Identical components for mass assembly | Standardization,SPECIFIC,NULL,,,,,ENV-08;IND-06,,,
