ID,Name,Description,Era,Predecessor_ID,Status,Syntropy_Score,Catalytic_Potential,Structural_Pattern,Invention_Reason,Social_Context,Drawbacks,Side_Effects,Impact_Map,Properties,External_Data_Link,Renewable,Location,Extraction_Method,Reserves_Estimate,Energy_Density_J_kg,Scarcity_Score,Knowledge_Completeness,Hidden_Potential_Hypothesis,Potential_Realization_Rate
RES-FUEL_OIL_BRENT_BATCH_01,Brent Crude (Batch 1),Crude oil. API: 38. Sulfur: 0.39%.,ERA-04_INDUSTRIAL,RES-BIO_ANCIENT_FOREST,ACTIVE,7.2,50.0,HYDROCARBON_MIX,NATURE,MKT-ENERGY,CO2 Emissions,Geopolitics,PROC-SYN_REFINING:FEED:+100,"{'API': '38', 'Sulfur': '0.39%'}",NULL,FALSE,North Sea,Drilling,Finite,45000000,0.4,0.99,None,1.0
RES-FUEL_OIL_BRENT_BATCH_02,Brent Crude (Batch 2),Crude oil. API: 38. Sulfur: 0.36%.,ERA-04_INDUSTRIAL,RES-BIO_ANCIENT_FOREST,ACTIVE,7.34,50.0,HYDROCARBON_MIX,NATURE,MKT-ENERGY,CO2 Emissions,Geopolitics,PROC-SYN_REFINING:FEED:+100,"{'API': '38', 'Sulfur': '0.36%'}",NULL,FALSE,North Sea,Drilling,Finite,45000000,0.4,0.99,None,1.0
RES-FUEL_OIL_BRENT_BATCH_03,Brent Crude (Batch 3),Crude oil. API: 38. Sulfur: 0.37%.,ERA-04_INDUSTRIAL,RES-BIO_ANCIENT_FOREST,ACTIVE,7.29,50.0,HYDROCARBON_MIX,NATURE,MKT-ENERGY,CO2 Emissions,Geopolitics,PROC-SYN_REFINING:FEED:+100,"{'API': '38', 'Sulfur': '0.37%'}",NULL,FALSE,North Sea,Drilling,Finite,45000000,0.4,0.99,None,1.0
RES-FUEL_OIL_BRENT_BATCH_04,Brent Crude (Batch 4),Crude oil. API: 38. Sulfur: 0.34%.,ERA-04_INDUSTRIAL,RES-BIO_ANCIENT_FOREST,ACTIVE,7.44,50.0,HYDROCARBON_MIX,NATURE,MKT-ENERGY,CO2 Emissions,Geopolitics,PROC-SYN_REFINING:FEED:+100,"{'API': '38', 'Sulfur': '0.34%'}",NULL,FALSE,North Sea,Drilling,Finite,45000000,0.4,0.99,None,1.0
RES-FUEL_OIL_BRENT_BATCH_05,Brent Crude (Batch 5),Crude oil. API: 38. Sulfur: 0.40%.,ERA-04_INDUSTRIAL,RES-BIO_ANCIENT_FOREST,ACTIVE,7.15,50.0,HYDROCARBON_MIX,NATURE,MKT-ENERGY,CO2 Emissions,Geopolitics,PROC-SYN_REFINING:FEED:+100,"{'API': '38', 'Sulfur': '0.40%'}",NULL,FALSE,North Sea,Drilling,Finite,45000000,0.4,0.99,None,1.0
RES-FUEL_OIL_URALS_BATCH_01,Urals Crude (Batch 1),Crude oil. API: 31. Sulfur: 1.42%.,ERA-04_INDUSTRIAL,RES-BIO_ANCIENT_FOREST,ACTIVE,4.13,50.0,HYDROCARBON_MIX,NATURE,MKT-ENERGY,CO2 Emissions,Geopolitics,PROC-SYN_REFINING:FEED:+100,"{'API': '31', 'Sulfur': '1.42%'}",NULL,FALSE,Russia,Drilling,Finite,45000000,0.4,0.99,None,1.0
RES-FUEL_OIL_URALS_BATCH_02,Urals Crude (Batch 2),Crude oil. API: 31. Sulfur: 1.43%.,ERA-04_INDUSTRIAL,RES-BIO_ANCIENT_FOREST,ACTIVE,4.12,50.0,HYDROCARBON_MIX,NATURE,MKT-ENERGY,CO2 Emissions,Geopolitics,PROC-SYN_REFINING:FEED:+100,"{'API': '31', 'Sulfur': '1.43%'}",NULL,FALSE,Russia,Drilling,Finite,45000000,0.4,0.99,None,1.0
RES-FUEL_OIL_URALS_BATCH_03,Urals Crude (Batch 3),Crude oil. API: 31. Sulfur: 1.25%.,ERA-04_INDUSTRIAL,RES-BIO_ANCIENT_FOREST,ACTIVE,4.45,50.0,HYDROCARBON_MIX,NATURE,MKT-ENERGY,CO2 Emissions,Geopolitics,PROC-SYN_REFINING:FEED:+100,"{'API': '31', 'Sulfur': '1.25%'}",NULL,FALSE,Russia,Drilling,Finite,45000000,0.4,0.99,None,1.0
RES-FUEL_OIL_URALS_BATCH_04,Urals Crude (Batch 4),Crude oil. API: 31. Sulfur: 1.25%.,ERA-04_INDUSTRIAL,RES-BIO_ANCIENT_FOREST,ACTIVE,4.45,50.0,HYDROCARBON_MIX,NATURE,MKT-ENERGY,CO2 Emissions,Geopolitics,PROC-SYN_REFINING:FEED:+100,"{'API': '31', 'Sulfur': '1.25%'}",NULL,FALSE,Russia,Drilling,Finite,45000000,0.4,0.99,None,1.0
RES-FUEL_OIL_URALS_BATCH_05,Urals Crude (Batch 5),Crude oil. API: 31. Sulfur: 1.19%.,ERA-04_INDUSTRIAL,RES-BIO_ANCIENT_FOREST,ACTIVE,4.58,50.0,HYDROCARBON_MIX,NATURE,MKT-ENERGY,CO2 Emissions,Geopolitics,PROC-SYN_REFINING:FEED:+100,"{'API': '31', 'Sulfur': '1.19%'}",NULL,FALSE,Russia,Drilling,Finite,45000000,0.4,0.99,None,1.0
