ID,Name,Description,Era,Predecessor_ID,Status,Syntropy_Score,Catalytic_Potential,Structural_Pattern,Power_Source,Output_Capacity,Req_Space,Maintenance_Cycle,Energy_Consumption_W,Invention_Reason,Social_Context,Drawbacks,Side_Effects,Impact_Map,Properties,External_Data_Link
FAC-MACH_LATHE_MICRO,Lab/Desktop Lathe,Turning unit. Lab/Desktop scale.,ERA-04_INDUSTRIAL,FAC-WORKSHOP_MANUAL,ACTIVE,0.4,10.0,MECHANICAL_KINEMATIC,GRID-AC,2 ops/hr,2m2,Every 200 hours,500,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-MACH_TURN_STANDARD:ENABLE:+0;SOC-GDP:GROWTH:+0,"{'Voltage': '110/220V', 'MTBF': '2000 hours'}",NULL
FAC-MACH_LATHE,Standard Lathe,Turning unit. Standard scale.,ERA-04_INDUSTRIAL,FAC-WORKSHOP_MANUAL,ACTIVE,2.0,10.0,MECHANICAL_KINEMATIC,GRID-AC,100 ops/hr,15m2,Every 200 hours,10000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-MACH_TURN_STANDARD:ENABLE:+10;SOC-GDP:GROWTH:+5,"{'Voltage': '380V 3-Phase', 'MTBF': '2000 hours'}",NULL
FAC-MACH_LATHE_IND,Industrial Lathe,Turning unit. Industrial scale.,ERA-04_INDUSTRIAL,FAC-MACH_LATHE,ACTIVE,3.2,10.0,MECHANICAL_KINEMATIC,GRID-AC,800 ops/hr,50m2,Every 200 hours,50000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-MACH_TURN_STANDARD:ENABLE:+80;SOC-GDP:GROWTH:+40,"{'Voltage': '480V 3-Phase', 'MTBF': '2000 hours'}",NULL
FAC-MACH_LATHE_GIGA,Gigafactory Lathe,Turning unit. Gigafactory scale.,ERA-04_INDUSTRIAL,FAC-MACH_LATHE_IND,ACTIVE,4.8,10.0,MECHANICAL_KINEMATIC,GRID-AC,12000 ops/hr,500m2,Every 200 hours,500000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-MACH_TURN_STANDARD:ENABLE:+1200;SOC-GDP:GROWTH:+600,"{'Voltage': 'HV Direct Feed', 'MTBF': '2000 hours'}",NULL
FAC-MACH_MILL_MICRO,Lab/Desktop Milling Machine,Milling unit. Lab/Desktop scale.,ERA-04_INDUSTRIAL,FAC-WORKSHOP_MANUAL,ACTIVE,0.33,12.0,MECHANICAL_KINEMATIC,GRID-AC,2 ops/hr,2m2,Every 166 hours,500,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-MACH_MILL_STANDARD:ENABLE:+0;SOC-GDP:GROWTH:+0,"{'Voltage': '110/220V', 'MTBF': '1666 hours'}",NULL
FAC-MACH_MILL,Standard Milling Machine,Milling unit. Standard scale.,ERA-04_INDUSTRIAL,FAC-WORKSHOP_MANUAL,ACTIVE,1.67,12.0,MECHANICAL_KINEMATIC,GRID-AC,100 ops/hr,15m2,Every 166 hours,10000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-MACH_MILL_STANDARD:ENABLE:+10;SOC-GDP:GROWTH:+5,"{'Voltage': '380V 3-Phase', 'MTBF': '1666 hours'}",NULL
FAC-MACH_MILL_IND,Industrial Milling Machine,Milling unit. Industrial scale.,ERA-04_INDUSTRIAL,FAC-MACH_MILL,ACTIVE,2.67,12.0,MECHANICAL_KINEMATIC,GRID-AC,800 ops/hr,50m2,Every 166 hours,50000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-MACH_MILL_STANDARD:ENABLE:+80;SOC-GDP:GROWTH:+40,"{'Voltage': '480V 3-Phase', 'MTBF': '1666 hours'}",NULL
FAC-MACH_MILL_GIGA,Gigafactory Milling Machine,Milling unit. Gigafactory scale.,ERA-04_INDUSTRIAL,FAC-MACH_MILL_IND,ACTIVE,4.0,12.0,MECHANICAL_KINEMATIC,GRID-AC,12000 ops/hr,500m2,Every 166 hours,500000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-MACH_MILL_STANDARD:ENABLE:+1200;SOC-GDP:GROWTH:+600,"{'Voltage': 'HV Direct Feed', 'MTBF': '1666 hours'}",NULL
FAC-MACH_DRILL_MICRO,Lab/Desktop Drill Press,Drilling unit. Lab/Desktop scale.,ERA-04_INDUSTRIAL,FAC-WORKSHOP_MANUAL,ACTIVE,0.5,8.0,MECHANICAL_KINEMATIC,GRID-AC,2 ops/hr,2m2,Every 250 hours,500,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-EXT_DRILLING_STANDARD:ENABLE:+0;SOC-GDP:GROWTH:+0,"{'Voltage': '110/220V', 'MTBF': '2500 hours'}",NULL
FAC-MACH_DRILL,Standard Drill Press,Drilling unit. Standard scale.,ERA-04_INDUSTRIAL,FAC-WORKSHOP_MANUAL,ACTIVE,2.5,8.0,MECHANICAL_KINEMATIC,GRID-AC,100 ops/hr,15m2,Every 250 hours,10000,SOC-NEED_EFFICIENCY,MKT-MANUFACTURING,Noise; Vibration,Heat Generation,PROC-EXT_DRILLING_STANDARD:ENABLE:+10;SOC-GDP:GROWTH:+5,"{'Voltage': '380V 3-Phase', 'MTBF': '2500 hours'}",NULL
