ID,Name,Description,Level,Parent_Group,Req_Science,Req_Design,Req_Resource,Req_Material,Req_Infrastructure,Req_Process,Req_Artifact,Req_Society
DIG-02,INFORMATION_THEORY,Data can be measured in bits; Noise is error | Entropy/Redundancy,SPECIFIC,NULL,,,,,ENV-SCI-04,,ELEC-04,
AV-01,AERODYNAMICS,Air moves faster over curved wing -> Lift (Bernoulli) | Fluid Dynamics,SPECIFIC,NULL,SCI-06,,F-03,,ENV-06,,,
GEO-01,PLATE_TECTONICS,Earth's crust moves on magma; Continents drift | Geophysics,SPECIFIC,NULL,SCI-21,,,,ENV-SCI-03,,ELEC-22,
SCI-16,ELECTRON,Electricity is made of particles | Subatomic Physics,SPECIFIC,NULL,SCI-08,,,,ENV-SCI-03,,ELEC-01,
SCI-17,RELATIVITY,Time and Space are linked; E=mc^2 | Spacetime/Mass-Energy Equivalence,SPECIFIC,NULL,SCI-06;SCI-02,,,,ENV-SCI-04,,,
SCI-18,QUANTUM_MECHANICS,Energy comes in packets; Probability rules matter | Wave-Particle Duality,SPECIFIC,NULL,SCI-16;SCI-09,,,,ENV-SCI-04,,,
SCI-19,NUCLEAR_FISSION,Splitting atom releases massive energy | Mass Defect,SPECIFIC,NULL,SCI-18;SCI-17,,,,ENV-SCI-03,,,
PRIM-15,SMELTING,Green stones in Kiln turn into red metal | Reduction,SPECIFIC,NULL,,,,PRIM-14,ENV-03,,,
PRIM-17,DOMESTICATION,Animals can be tamed for food and work | Symbiosis,SPECIFIC,NULL,,,,,ENV-SCI-01;S-09,,,
PRIM-22,COMPASS_LODESTONE,Magnetized needle floats North | Magnetism,SPECIFIC,NULL,,,,PRIM-02,ENV-SCI-01,,,
PRIM-24,GUNPOWDER,Sulfur+Charcoal+Saltpeter | Rapid Oxidation,SPECIFIC,NULL,,,,PRIM-15,ENV-07,,,
PRIM-26,IRON_SMELTING,High temp fire melts iron | Reduction,SPECIFIC,NULL,,,,PRIM-25,ENV-04,,,
PRIM-31,ZERO,Symbol for nothing allows complex math | Positional Notation,SPECIFIC,NULL,,,,,ENV-SCI-02;S-10,,,
PRIM-41,FERMENTATION,Grain bubbles and changes taste | Anaerobic Digestion,SPECIFIC,NULL,,,,,ENV-03;S-09,,,
PRIM-47,SALT_CURING,Salt dries meat and stops rot | Dehydration,SPECIFIC,NULL,,,F-02,,ENV-01,,,
SCI-03,HELIOCENTRISM,Planets orbit Sun (not Earth) | Gravity/Orbital Mechanics,SPECIFIC,NULL,SCI-02,,,,ENV-SCI-01,,,
SCI-06,NEWTON_PHYSICS,Laws of Motion and Gravity | Determinism,SPECIFIC,NULL,SCI-05,,,,ENV-SCI-04,,,
SCI-07,GAS_LAWS,Pressure * Volume = Constant (Boyle) | Thermodynamics,SPECIFIC,NULL,,,,PRIM-25,ENV-SCI-03,,,
SCI-09,ATOMIC_THEORY,Matter is made of discrete particles | Discreteness,SPECIFIC,NULL,SCI-07,,,,ENV-SCI-03,,,
SCI-10,THERMODYNAMICS_1ST,Energy cannot be created or destroyed | Conservation of Energy,SPECIFIC,NULL,,,,,ENV-SCI-04;IND-05,,,
SCI-11,ELECTROMAGNETIC_INDUCTION,Moving magnet creates current | Field Interaction,SPECIFIC,NULL,,,,,ENV-SCI-03,,ELEC-03,
SCI-12,GERM_THEORY,Microorganisms cause rot and disease | Microbiology,SPECIFIC,NULL,SCI-04,,,,ENV-SCI-03,,,
SCI-13,PERIODIC_TABLE,Elements arranged by atomic weight show patterns | Periodicity,SPECIFIC,NULL,SCI-09,,,,ENV-SCI-04,,,
SCI-14,MENDELIAN_GENETICS,Traits are inherited via discrete units | Statistical Probability,SPECIFIC,NULL,,,,PRIM-17,ENV-SCI-03,,,
SCI-15,NITROGEN_CYCLE,Bacteria fix nitrogen; Legumes restore soil | Chemical Cycle,SPECIFIC,NULL,,,,,ENV-SCI-03;IND-18,,,
IND-13,VACCINATION,Cowpox protects against Smallpox | Immunology,SPECIFIC,NULL,,,,,ENV-SCI-03;IND-12,,,
IND-14,ANESTHESIA,Ether/Chloroform blocks pain | Nervous System Suppression,SPECIFIC,NULL,,,,,ENV-07;IND-18,,,
ELEC-03,ELECTROMAGNET,Current in coil creates magnet | Electromagnetism,SPECIFIC,NULL,,,,,ENV-07,,ELEC-02,
