ID,Name,Description,Era,Predecessor_ID,Status,Syntropy_Score,Catalytic_Potential,Structural_Pattern,Invention_Reason,Social_Context,Drawbacks,Side_Effects,Impact_Map,Properties,External_Data_Link,Chemical_Formula,Req_Resource,Req_Process
MAT-STL_1010_HR_US__001,AISI 1010 - Hot Rolled (US_Steel),Carbon steel 0.1% C. Hot Rolled.,ERA-04_INDUSTRIAL,MAT-IRON_PUDDLED,ACTIVE,1.86,5.0,MICROSTRUCTURE_FERRITE_PEARLITE,SOC-NEED_STRENGTH,MKT-GLOBAL_CONSTRUCTION,Rusts; Heavy,CO2 emissions,FAC-MACHINERY:ENABLE:+10,"{'Yield': '176 MPa', 'Tensile': '264 MPa', 'Hardness': 'HB 55', 'Density': '7.85 g/cm3'}",NULL,"Fe, C:0.1%, Mn:0.6%",RES-ORE_IRON_HEMATITE;RES-COAL_COKE,PROC-SMELTING_BF
MAT-STL_1010_HR_US__002,AISI 1010 - Hot Rolled (US_Steel),Carbon steel 0.1% C. Hot Rolled.,ERA-04_INDUSTRIAL,MAT-IRON_PUDDLED,ACTIVE,1.94,5.0,MICROSTRUCTURE_FERRITE_PEARLITE,SOC-NEED_STRENGTH,MKT-GLOBAL_CONSTRUCTION,Rusts; Heavy,CO2 emissions,FAC-MACHINERY:ENABLE:+10,"{'Yield': '183 MPa', 'Tensile': '274 MPa', 'Hardness': 'HB 57', 'Density': '7.85 g/cm3'}",NULL,"Fe, C:0.1%, Mn:0.6%",RES-ORE_IRON_HEMATITE;RES-COAL_COKE,PROC-SMELTING_BF
MAT-STL_1010_HR_ARC_001,AISI 1010 - Hot Rolled (ArcelorMittal),Carbon steel 0.1% C. Hot Rolled.,ERA-04_INDUSTRIAL,MAT-IRON_PUDDLED,ACTIVE,1.92,5.0,MICROSTRUCTURE_FERRITE_PEARLITE,SOC-NEED_STRENGTH,MKT-GLOBAL_CONSTRUCTION,Rusts; Heavy,CO2 emissions,FAC-MACHINERY:ENABLE:+10,"{'Yield': '181 MPa', 'Tensile': '271 MPa', 'Hardness': 'HB 56', 'Density': '7.85 g/cm3'}",NULL,"Fe, C:0.1%, Mn:0.6%",RES-ORE_IRON_HEMATITE;RES-COAL_COKE,PROC-SMELTING_BF
MAT-STL_1010_HR_ARC_002,AISI 1010 - Hot Rolled (ArcelorMittal),Carbon steel 0.1% C. Hot Rolled.,ERA-04_INDUSTRIAL,MAT-IRON_PUDDLED,ACTIVE,1.93,5.0,MICROSTRUCTURE_FERRITE_PEARLITE,SOC-NEED_STRENGTH,MKT-GLOBAL_CONSTRUCTION,Rusts; Heavy,CO2 emissions,FAC-MACHINERY:ENABLE:+10,"{'Yield': '182 MPa', 'Tensile': '273 MPa', 'Hardness': 'HB 56', 'Density': '7.85 g/cm3'}",NULL,"Fe, C:0.1%, Mn:0.6%",RES-ORE_IRON_HEMATITE;RES-COAL_COKE,PROC-SMELTING_BF
MAT-STL_1010_HR_NIP_001,AISI 1010 - Hot Rolled (Nippon),Carbon steel 0.1% C. Hot Rolled.,ERA-04_INDUSTRIAL,MAT-IRON_PUDDLED,ACTIVE,1.87,5.0,MICROSTRUCTURE_FERRITE_PEARLITE,SOC-NEED_STRENGTH,MKT-GLOBAL_CONSTRUCTION,Rusts; Heavy,CO2 emissions,FAC-MACHINERY:ENABLE:+10,"{'Yield': '177 MPa', 'Tensile': '265 MPa', 'Hardness': 'HB 55', 'Density': '7.85 g/cm3'}",NULL,"Fe, C:0.1%, Mn:0.6%",RES-ORE_IRON_HEMATITE;RES-COAL_COKE,PROC-SMELTING_BF
MAT-STL_1010_HR_NIP_002,AISI 1010 - Hot Rolled (Nippon),Carbon steel 0.1% C. Hot Rolled.,ERA-04_INDUSTRIAL,MAT-IRON_PUDDLED,ACTIVE,1.93,5.0,MICROSTRUCTURE_FERRITE_PEARLITE,SOC-NEED_STRENGTH,MKT-GLOBAL_CONSTRUCTION,Rusts; Heavy,CO2 emissions,FAC-MACHINERY:ENABLE:+10,"{'Yield': '182 MPa', 'Tensile': '273 MPa', 'Hardness': 'HB 56', 'Density': '7.85 g/cm3'}",NULL,"Fe, C:0.1%, Mn:0.6%",RES-ORE_IRON_HEMATITE;RES-COAL_COKE,PROC-SMELTING_BF
MAT-STL_1010_HR_BAO_001,AISI 1010 - Hot Rolled (Baowu),Carbon steel 0.1% C. Hot Rolled.,ERA-04_INDUSTRIAL,MAT-IRON_PUDDLED,ACTIVE,1.92,5.0,MICROSTRUCTURE_FERRITE_PEARLITE,SOC-NEED_STRENGTH,MKT-GLOBAL_CONSTRUCTION,Rusts; Heavy,CO2 emissions,FAC-MACHINERY:ENABLE:+10,"{'Yield': '181 MPa', 'Tensile': '271 MPa', 'Hardness': 'HB 56', 'Density': '7.85 g/cm3'}",NULL,"Fe, C:0.1%, Mn:0.6%",RES-ORE_IRON_HEMATITE;RES-COAL_COKE,PROC-SMELTING_BF
MAT-STL_1010_HR_BAO_002,AISI 1010 - Hot Rolled (Baowu),Carbon steel 0.1% C. Hot Rolled.,ERA-04_INDUSTRIAL,MAT-IRON_PUDDLED,ACTIVE,1.94,5.0,MICROSTRUCTURE_FERRITE_PEARLITE,SOC-NEED_STRENGTH,MKT-GLOBAL_CONSTRUCTION,Rusts; Heavy,CO2 emissions,FAC-MACHINERY:ENABLE:+10,"{'Yield': '183 MPa', 'Tensile': '274 MPa', 'Hardness': 'HB 57', 'Density': '7.85 g/cm3'}",NULL,"Fe, C:0.1%, Mn:0.6%",RES-ORE_IRON_HEMATITE;RES-COAL_COKE,PROC-SMELTING_BF
MAT-STL_1010_HR_POS_001,AISI 1010 - Hot Rolled (POSCO),Carbon steel 0.1% C. Hot Rolled.,ERA-04_INDUSTRIAL,MAT-IRON_PUDDLED,ACTIVE,1.87,5.0,MICROSTRUCTURE_FERRITE_PEARLITE,SOC-NEED_STRENGTH,MKT-GLOBAL_CONSTRUCTION,Rusts; Heavy,CO2 emissions,FAC-MACHINERY:ENABLE:+10,"{'Yield': '177 MPa', 'Tensile': '265 MPa', 'Hardness': 'HB 55', 'Density': '7.85 g/cm3'}",NULL,"Fe, C:0.1%, Mn:0.6%",RES-ORE_IRON_HEMATITE;RES-COAL_COKE,PROC-SMELTING_BF
MAT-STL_1010_HR_POS_002,AISI 1010 - Hot Rolled (POSCO),Carbon steel 0.1% C. Hot Rolled.,ERA-04_INDUSTRIAL,MAT-IRON_PUDDLED,ACTIVE,1.92,5.0,MICROSTRUCTURE_FERRITE_PEARLITE,SOC-NEED_STRENGTH,MKT-GLOBAL_CONSTRUCTION,Rusts; Heavy,CO2 emissions,FAC-MACHINERY:ENABLE:+10,"{'Yield': '181 MPa', 'Tensile': '271 MPa', 'Hardness': 'HB 56', 'Density': '7.85 g/cm3'}",NULL,"Fe, C:0.1%, Mn:0.6%",RES-ORE_IRON_HEMATITE;RES-COAL_COKE,PROC-SMELTING_BF
