ID,Name,Description,Level,Parent_Group,Req_Science,Req_Design,Req_Resource,Req_Material,Req_Infrastructure,Req_Process,Req_Artifact,Req_Society
DIG-11,COMPILER,Translating human code to machine zeros/ones | Abstraction/Parsing,SPECIFIC,NULL,,,,,S-10,,DIG-08;DIG-02,
DIG-24,SEARCH_ENGINE,Indexing the chaos of the Web | PageRank/Graph Theory,SPECIFIC,NULL,,,,,ENV-14;IND-43,,DIG-23,
DIG-57,CRISPR,Programmable gene editing using bacterial defense | DNA Targeting/Cas9,SPECIFIC,NULL,SCI-14;SCI-12,,,,ENV-16,,,
DIG-70,GIT_VERSION_CONTROL,Tracking changes in code history (Merkle Tree) | Directed Acyclic Graph,SPECIFIC,NULL,,,,,ENV-15;S-10,,DIG-02,
DIG-75,WEB_BROWSER,Visual interface to navigate the Web | Rendering Engine,SPECIFIC,NULL,,,,,ENV-15,,DIG-09;DIG-14,
DIG-80,CLI_SHELL,Text-based interface to the OS | Scripting/Piping,SPECIFIC,NULL,,,,,ENV-15,,DIG-79;DIG-11,
DIG-93,DIGITAL_WALLET,Self-sovereign identity and bank in software | Public Key Infrastructure,SPECIFIC,NULL,,,,,ENV-15;ENV-13,,DIG-25,
IND-48,MICROMETER,Screw thread translates rotation into precise linear measurement | Metrology/Precision,SPECIFIC,NULL,,,,,ENV-08;S-07,,,
MED-05,HYPODERMIC_SYRINGE,Stainless hollow needle + Plastic body | Fluid Dynamics/Sterility,SPECIFIC,NULL,,,,MAT-05,ENV-11;IND-74,,,
PRIM-02,BONE_NEEDLE,Fish bones are sharp and have holes | Piercing,SPECIFIC,NULL,,,,,ENV-01;S-01,,,
PRIM-13,SAIL,Wind pushes large cloth surface | Aerodynamics,SPECIFIC,NULL,,,F-03,PRIM-07,,,,
PRIM-18,PLOUGH,Stick pulled by Ox breaks soil deep | Leverage,SPECIFIC,NULL,,,,PRIM-17,ENV-02,,,
PRIM-29,LENS,Curved glass magnifies | Refraction,SPECIFIC,NULL,,,,PRIM-28,ENV-02,,,
PRIM-48,FISHING_NET,Rope grid traps fish | Filtration,SPECIFIC,NULL,,,,,S-05,,,
PRIM-50,STIRRUP,Foot loop for rider stability | Stability,SPECIFIC,NULL,,,,PRIM-46,ENV-02,,,
PRIM-51,RUDDER,Stern oar steers ship | Hydrodynamics,SPECIFIC,NULL,,,,PRIM-12,ENV-02,,,
PRIM-54,NAIL,Metal spike holds wood | Friction/Shear Strength,SPECIFIC,NULL,,,,PRIM-16,ENV-04,,,
PRIM-55,RULER,Standardized stick measures length | Measurement,SPECIFIC,NULL,,,,,ENV-02;S-10,,,
PRIM-56,SAW,Serrated metal blade cuts wood planks | Friction/Cutting,SPECIFIC,NULL,,,,,ENV-04;S-01,,,
PRIM-58,ANVIL,Heavy block to hammer against | Rebound,SPECIFIC,NULL,,,,PRIM-26,ENV-04,,,
PRIM-59,BALANCE_SCALE,Comparing weight against stones/grain | Leverage/Equilibrium,SPECIFIC,NULL,,,,PRIM-09,ENV-02;S-02,,,
PRIM-60,PLUMB_BOB,Heavy stone on string hangs straight down | Gravity/Verticality,SPECIFIC,NULL,,,F-01,,S-05;S-01,,,
PRIM-61,WATER_LEVEL,Water surface is always flat relative to earth | Hydrostatics,SPECIFIC,NULL,,,F-02,PRIM-05,ENV-SITE-A,,,
PRIM-62,SET_SQUARE,Triangle with sides 3-4-5 makes perfect corner | Geometry/Pythagoras,SPECIFIC,NULL,,,,PRIM-55,ENV-02;S-10,,,
PRIM-63,GROMA_SURVEY,Cross with plumb bobs to sight straight lines | Geometry/Sighting,SPECIFIC,NULL,,,,PRIM-60,ENV-02;S-10,,,
PRIM-64,SURVEY_CHAIN,Metal chain of fixed length measures land | Standardization/Non-stretching,SPECIFIC,NULL,,,,PRIM-55;PRIM-54,ENV-04,,,
PRIM-65,GNOMON_SUNDIAL,Stick shadow moves with the sun | Planetary Rotation,SPECIFIC,NULL,,,F-03,,ENV-SCI-01;S-01,,,
PRIM-67,CROSS_STAFF,Measuring angle between star and horizon | Trigonometry,SPECIFIC,NULL,,,,PRIM-55,ENV-SCI-01;S-10,,,
SCI-02,TELESCOPE,Two lenses in a tube make far things close | Optics/Refraction,SPECIFIC,NULL,,,,PRIM-29,ENV-02,,,
SCI-04,MICROSCOPE,Two lenses make small things huge | Optics/Magnification,SPECIFIC,NULL,,,,PRIM-29,ENV-02,,,
SCI-23,THERMOMETER_MERCURY,Need to quantify 'hot' and 'cold' objectively | Thermal Expansion,SPECIFIC,NULL,SCI-07,,,PRIM-28,ENV-07,,,
SCI-24,BAROMETER,Air has weight; vacuum pulls liquid up | Atmospheric Pressure,SPECIFIC,NULL,SCI-08,,,PRIM-28,ENV-07,,,
SCI-25,SPECTROSCOPE,Burning elements emit unique light colors (Fingerprints) | Refraction/Spectral Lines,SPECIFIC,NULL,SCI-02,,,PRIM-29,ENV-07,,,
IND-02,SEXTANT,Mirrors measure angle of stars | Triangulation,SPECIFIC,NULL,SCI-02,,,,ENV-02,,,
IND-29,SLIDE_RULE,Sliding scales for math | Logarithms,SPECIFIC,NULL,SCI-05,,,,ENV-06,,,
IND-76,SPIRIT_LEVEL,Bubble in alcohol tube shows level | Fluid Mechanics/Buoyancy,SPECIFIC,NULL,,,,PRIM-28;PRIM-61,ENV-07,,,
IND-77,THEODOLITE,Telescope mounted on rotating protractor | Triangulation/Optics,SPECIFIC,NULL,SCI-02,,,,ENV-08;IND-48,,,
ELEC-01,LEYDEN_JAR,Glass jar stores static charge | Capacitance,SPECIFIC,NULL,,,,PRIM-28,ENV-07,,,
