ID,Name,Description,Era,Predecessor_ID,Status,Syntropy_Score,Catalytic_Potential,Structural_Pattern,Power_Source,Output_Capacity,Req_Space,Maintenance_Cycle,Energy_Consumption_W,Invention_Reason,Social_Context,Drawbacks,Side_Effects,Impact_Map,Properties,External_Data_Link
FAC-GEN_COAL_PLANT_SMALL,Coal Power Plant (SMALL),Burns coal to generate steam. Output: 500 MW.,ERA-04_INDUSTRIAL,FAC-STEAM_ENGINE,ACTIVE,-5.0,1000.0,ENERGY_SOURCE,RES-COAL_BITUMINOUS,500 MW,100 Hectares,Continuous,-500000000,SOC-NEED_ENERGY,MKT-ENERGY_GRID,High CO2,Thermal Pollution,GRID-ALL:ENERGIZE:+1000,{'Grid_Type': 'HV_AC'},NULL
FAC-GEN_COAL_PLANT_MAIN,Coal Power Plant (MAIN),Burns coal to generate steam. Output: 5000 MW.,ERA-04_INDUSTRIAL,FAC-STEAM_ENGINE,ACTIVE,-5.0,10000.0,ENERGY_SOURCE,RES-COAL_BITUMINOUS,5000 MW,1000 Hectares,Continuous,-5000000000,SOC-NEED_ENERGY,MKT-ENERGY_GRID,High CO2,Thermal Pollution,GRID-ALL:ENERGIZE:+1000,{'Grid_Type': 'HV_AC'},NULL
FAC-GEN_COAL_PLANT_GIGA,Coal Power Plant (GIGA),Burns coal to generate steam. Output: 50000 MW.,ERA-04_INDUSTRIAL,FAC-STEAM_ENGINE,ACTIVE,-5.0,100000.0,ENERGY_SOURCE,RES-COAL_BITUMINOUS,50000 MW,10000 Hectares,Continuous,-50000000000,SOC-NEED_ENERGY,MKT-ENERGY_GRID,High CO2,Thermal Pollution,GRID-ALL:ENERGIZE:+1000,{'Grid_Type': 'HV_AC'},NULL
FAC-GEN_GAS_TURBINE_SMALL,Gas Turbine Cycle (SMALL),Combusts natural gas. Output: 500 MW.,ERA-05_ELECTRICAL,FAC-STEAM_ENGINE,ACTIVE,2.0,1000.0,ENERGY_SOURCE,RES-FUEL_GAS_METHANE,500 MW,100 Hectares,Continuous,-500000000,SOC-NEED_ENERGY,MKT-ENERGY_GRID,Med CO2,Thermal Pollution,GRID-ALL:ENERGIZE:+1000,{'Grid_Type': 'HV_AC'},NULL
FAC-GEN_GAS_TURBINE_MAIN,Gas Turbine Cycle (MAIN),Combusts natural gas. Output: 5000 MW.,ERA-05_ELECTRICAL,FAC-STEAM_ENGINE,ACTIVE,2.0,10000.0,ENERGY_SOURCE,RES-FUEL_GAS_METHANE,5000 MW,1000 Hectares,Continuous,-5000000000,SOC-NEED_ENERGY,MKT-ENERGY_GRID,Med CO2,Thermal Pollution,GRID-ALL:ENERGIZE:+1000,{'Grid_Type': 'HV_AC'},NULL
FAC-GEN_GAS_TURBINE_GIGA,Gas Turbine Cycle (GIGA),Combusts natural gas. Output: 50000 MW.,ERA-05_ELECTRICAL,FAC-STEAM_ENGINE,ACTIVE,2.0,100000.0,ENERGY_SOURCE,RES-FUEL_GAS_METHANE,50000 MW,10000 Hectares,Continuous,-50000000000,SOC-NEED_ENERGY,MKT-ENERGY_GRID,Med CO2,Thermal Pollution,GRID-ALL:ENERGIZE:+1000,{'Grid_Type': 'HV_AC'},NULL
FAC-GEN_NUCLEAR_PWR_SMALL,Nuclear Reactor (PWR) (SMALL),Splits uranium atoms. Output: 500 MW.,ERA-05_ELECTRICAL,FAC-STEAM_ENGINE,ACTIVE,50.0,1000.0,ENERGY_SOURCE,RES-FUEL_URANIUM,500 MW,100 Hectares,Continuous,-500000000,SOC-NEED_ENERGY,MKT-ENERGY_GRID,Nuclear Waste,Thermal Pollution,GRID-ALL:ENERGIZE:+1000,{'Grid_Type': 'HV_AC'},NULL
FAC-GEN_NUCLEAR_PWR_MAIN,Nuclear Reactor (PWR) (MAIN),Splits uranium atoms. Output: 5000 MW.,ERA-05_ELECTRICAL,FAC-STEAM_ENGINE,ACTIVE,50.0,10000.0,ENERGY_SOURCE,RES-FUEL_URANIUM,5000 MW,1000 Hectares,Continuous,-5000000000,SOC-NEED_ENERGY,MKT-ENERGY_GRID,Nuclear Waste,Thermal Pollution,GRID-ALL:ENERGIZE:+1000,{'Grid_Type': 'HV_AC'},NULL
FAC-GEN_NUCLEAR_PWR_GIGA,Nuclear Reactor (PWR) (GIGA),Splits uranium atoms. Output: 50000 MW.,ERA-05_ELECTRICAL,FAC-STEAM_ENGINE,ACTIVE,50.0,100000.0,ENERGY_SOURCE,RES-FUEL_URANIUM,50000 MW,10000 Hectares,Continuous,-50000000000,SOC-NEED_ENERGY,MKT-ENERGY_GRID,Nuclear Waste,Thermal Pollution,GRID-ALL:ENERGIZE:+1000,{'Grid_Type': 'HV_AC'},NULL
FAC-GEN_SOLAR_FARM_SMALL,Solar PV Farm (SMALL),Captures sunlight. Output: 500 MW.,ERA-06_DIGITAL,FAC-STEAM_ENGINE,ACTIVE,20.0,1000.0,ENERGY_SOURCE,ENV-SUNLIGHT,500 MW,100 Hectares,Continuous,-500000000,SOC-NEED_ENERGY,MKT-ENERGY_GRID,None,Thermal Pollution,GRID-ALL:ENERGIZE:+1000,{'Grid_Type': 'HV_AC'},NULL
FAC-GEN_SOLAR_FARM_MAIN,Solar PV Farm (MAIN),Captures sunlight. Output: 5000 MW.,ERA-06_DIGITAL,FAC-STEAM_ENGINE,ACTIVE,20.0,10000.0,ENERGY_SOURCE,ENV-SUNLIGHT,5000 MW,1000 Hectares,Continuous,-5000000000,SOC-NEED_ENERGY,MKT-ENERGY_GRID,None,Thermal Pollution,GRID-ALL:ENERGIZE:+1000,{'Grid_Type': 'HV_AC'},NULL
FAC-GEN_SOLAR_FARM_GIGA,Solar PV Farm (GIGA),Captures sunlight. Output: 50000 MW.,ERA-06_DIGITAL,FAC-STEAM_ENGINE,ACTIVE,20.0,100000.0,ENERGY_SOURCE,ENV-SUNLIGHT,50000 MW,10000 Hectares,Continuous,-50000000000,SOC-NEED_ENERGY,MKT-ENERGY_GRID,None,Thermal Pollution,GRID-ALL:ENERGIZE:+1000,{'Grid_Type': 'HV_AC'},NULL
