ID,Name,Description,Level,Parent_Group,Req_Science,Req_Design,Req_Resource,Req_Material,Req_Infrastructure,Req_Process,Req_Artifact,Req_Society
DIG-07,SILICON_WAFER,Purest crystal needed for chips | Czochralski Process,SPECIFIC,NULL,SCI-13,,,MAT-06,ENV-13,,,
IND-70,PLYWOOD,Wood veneer layers glued cross-grain | Composite Material,SPECIFIC,NULL,,,,PRIM-01,ENV-11;IND-06,,,
IND-72,ENGINEERED_WOOD,Sawdust/chips bonded with resin under heat/pressure | Waste Utilization,SPECIFIC,NULL,,,,MAT-13,ENV-12;IND-51,,,
MAT-01,PLASTIC_BAKELITE,Synthetic polymer from oil/coal | Polymerization,SPECIFIC,NULL,,,,,ENV-12;IND-45;IND-18,,,
MAT-03,PIEZO_CRYSTAL,Crystals generate charge when squeezed (Quartz) | Piezoelectricity,SPECIFIC,NULL,SCI-11,,F-01,,ENV-10,,,
MAT-08,POLYETHYLENE,Gas molecules linked into long plastic chains | Polymerization,SPECIFIC,NULL,SCI-09,,,,ENV-12;IND-47,,,
MAT-09,SYNTHETIC_RUBBER,Man-made elastomer from oil byproducts | Polymerization,SPECIFIC,NULL,SCI-09,,,,ENV-12;IND-47,,,
MAT-10,NYLON,Synthetic fiber stronger than silk | Extrusion/Spinning,SPECIFIC,NULL,SCI-09,,,,ENV-12;IND-47,,,
MAT-11,PVC,Chlorine + Ethylene = Durable rigid plastic | Polymerization,SPECIFIC,NULL,,,,,ENV-12;IND-47;IND-18,,,
MAT-12,TEFLON_PTFE,Fluorine atoms shield carbon chain from reaction | Chemical Inertness,SPECIFIC,NULL,SCI-09,,,,ENV-12;IND-18,,,
MAT-13,EPOXY_RESIN,Two liquids harden into cross-linked solid | Thermosetting,SPECIFIC,NULL,SCI-09,,,,ENV-12;IND-45,,,
FOOD-01,FOOD_ADDITIVES,Chemicals to preserve texture/flavor/color | Organic Chemistry,SPECIFIC,NULL,SCI-09,,,,ENV-12;IND-18,,,
PRIM-01,RESIN_GLUE,Tree sap melts in fire and hardens | Phase Change,SPECIFIC,NULL,,,,,ENV-01;S-01,,,
PRIM-03,THREAD,Plant fibers twisted thinner than rope | Tensile strength,SPECIFIC,NULL,,,,,S-05,,,
PRIM-07,CLOTH,Woven threads create flexible sheet | Surface Area,SPECIFIC,NULL,,,,PRIM-06,,,,
PRIM-08,CLAY,Wet earth is plastic; Dry earth is hard | Plasticity,SPECIFIC,NULL,,,F-01;F-02,,,,,
PRIM-09,SUN_BRICK,Mud dried in box shape stacks well | Modularity,SPECIFIC,NULL,,,,PRIM-08,ENV-01,,,
PRIM-14,COPPER_NATIVE,Shiny red stone beats into shape | Malleability,SPECIFIC,NULL,,,,,ENV-01,,,
PRIM-20,SILK,Worm cocoon unravels into thread | Protein Fiber,SPECIFIC,NULL,,,,PRIM-03,ENV-01,,,
PRIM-23,PAPER,Fibers dried on screen with glue size | Hydrogen Bonding,SPECIFIC,NULL,,,,PRIM-07,ENV-03,,,
PRIM-28,GLASS,Melted sand becomes transparent stone | Amorphous Solid,SPECIFIC,NULL,,,,PRIM-25,ENV-03,,,
PRIM-35,CONCRETE,Ash+Lime+Water turns to stone | Hydration,SPECIFIC,NULL,,,,PRIM-49,ENV-SITE-A,,,
PRIM-49,MORTAR_LIME,Burnt lime glues stone | Chemical Bonding,SPECIFIC,NULL,,,F-01,,ENV-03,,,
PRIM-53,INK,Soot+Glue+Water | Pigmentation,SPECIFIC,NULL,,,,PRIM-01,ENV-01,,,
IND-15,PORTLAND_CEMENT,Clay+Lime fired at high temp | Chemical Bonding,SPECIFIC,NULL,,,,PRIM-49,ENV-03,,,
IND-17,RUBBER_VULCANIZED,Sulfur + Heat makes rubber durable | Polymer Cross-linking,SPECIFIC,NULL,,,,,ENV-07;S-08,,,
IND-18,INDUSTRIAL_ACID,Sulfuric Acid / Soda Ash production | Chemical Synthesis,SPECIFIC,NULL,,,,,ENV-07;IND-03,,,
IND-20,WOOD_PULP_PAPER,Acid breaks down wood into fiber | Chemical Pulping,SPECIFIC,NULL,,,,,ENV-07;IND-18;IND-05,,,
IND-22,SYNTHETIC_DYE,Coal tar waste turned into color | Organic Synthesis,SPECIFIC,NULL,,,,,ENV-SCI-06;IND-03,,,
IND-28,FERTILIZER_CHEM,Dissolving bones/rocks in acid | Chemical Nutrition,SPECIFIC,NULL,,,,,ENV-07;IND-18,,,
IND-30,REINFORCED_CONCRETE,Steel bars inside concrete | Composite Material,SPECIFIC,NULL,,,,,ENV-SITE-B;IND-15;IND-19,,,
IND-44,ELECTRICAL_INSULATION,Rubber coating on wires | Dielectric Protection,SPECIFIC,NULL,,,,,ENV-07;IND-17,,,
