ID,Name,Description,Level,Parent_Group,Req_Science,Req_Design,Req_Resource,Req_Material,Req_Infrastructure,Req_Process,Req_Artifact,Req_Society
ENV-13,SEMICONDUCTOR_FAB,Sterile factory with Lithography Steppers & Etching baths | Air Filtration/Photochemistry,SPECIFIC,NULL,SCI-22,,,,ENV-10;IND-31;IND-21,,URB-01,
ENV-14,SERVER_FARM,Factory for computing; Concentrated power & cooling | Heat Dissipation/Density,SPECIFIC,NULL,,,,,ENV-10,,URB-01;ELEC-09,
ENV-15,DEV_IDE,Virtual environment for writing code | Abstraction/Virtualization,SPECIFIC,NULL,,,,,ENV-14,,DIG-12;DIG-11,
ENV-16,BIO_LAB,Sterile environment with sequencers | Genetic Engineering,SPECIFIC,NULL,SCI-22,,,,ENV-13;ENV-SCI-06,,DIG-40,
ENV-SCI-05,SIMULATION_GRID,Modeling complex systems in silico | Simulation,SPECIFIC,NULL,SCI-05,,,,ENV-14,,DIG-40,
ENV-10,ELEC_LAB,Workbench + Oscilloscope + Soldering | Circuit Assembly,SPECIFIC,NULL,,,,,ENV-02,,ELEC-02;ELEC-06,
ENV-11,ASSEMBLY_LINE,Conveyor belt + Specialized stations | Flow Efficiency,SPECIFIC,NULL,,,,,ENV-08;IND-43,,,SOC-10
ENV-12,REFINERY_PLANT,Massive distillation columns + Pipes | Chemical Engineering,SPECIFIC,NULL,,,,,ENV-SCI-06;IND-45;IND-68,,ELEC-23,
ENV-01,HEARTH_WORKSPACE,Controlled fire + Flat stone surface | Heat/Workspace,SPECIFIC,NULL,,,F-01,,S-08,,,
ENV-02,CRAFT_BENCH,Dedicated space with vices/stops | Stabilization,SPECIFIC,NULL,,,,,ENV-01;S-01;S-02,,,
ENV-03,POTTERY_SHED,Kiln + Wheel + Drying racks | Thermal Cycle,SPECIFIC,NULL,,,,PRIM-08,ENV-01,,,
ENV-04,FORGE_SMITHY,High temp fire + Anvil + Hammer | Metallurgy,SPECIFIC,NULL,,,,PRIM-10,ENV-01;S-01,,,
ENV-SITE-A,MASONRY_SITE,Organized labor + Levers + Ropes | Logistics/Leverage,SPECIFIC,NULL,,,,,ENV-01;S-06,,,SOC-01
ENV-SCI-01,OBSERVATION_CIRCLE,Place to watch stars/seasons | Pattern Recognition,SPECIFIC,NULL,,,F-03,,S-10,,,
ENV-SCI-02,SCRIBERY_ARCHIVE,Storage for scrolls/tablets | External Memory,SPECIFIC,NULL,,,,PRIM-23,ENV-SCI-01,,,
PRIM-38,PAPER_MILL,Water wheel pulps rags | Industrialization,SPECIFIC,NULL,,,,PRIM-23;PRIM-33,ENV-SITE-A,,,
ENV-06,DRAFTING_ROOM,Tables + Paper + Precision tools | Geometric Abstraction,SPECIFIC,NULL,,,,PRIM-23;PRIM-55,ENV-02,,,
ENV-07,ALCHEMY_LAB,Glassware + Burners + Reagents | Chemical Reaction,SPECIFIC,NULL,,,,PRIM-28;PRIM-10,ENV-03,,,
ENV-08,MACHINE_SHOP,Lathes + Drills + Hardened Steel | Precision Machining,SPECIFIC,NULL,,,,,ENV-04;IND-06;IND-39;ENV-06,,,
ENV-09,PRINTING_HOUSE,Presses + Typesetting + Paper storage | Mass Replication,SPECIFIC,NULL,,,,PRIM-40,ENV-02,,,
ENV-SITE-B,HEAVY_SITE,Steam cranes + Steel beams | Load Bearing,SPECIFIC,NULL,,,,,ENV-SITE-A;IND-15;IND-52,,,
ENV-SCI-03,NATURAL_PHIL_LAB,Microscopes + Collections | Empirical Observation,SPECIFIC,NULL,SCI-04,,,,ENV-SCI-02;ENV-07,,,
ENV-SCI-04,THEORETICAL_STUDY,Books + Blackboard + Calculus | Mathematical Modeling,SPECIFIC,NULL,,,,PRIM-31,ENV-SCI-02;ENV-09,,,
ENV-SCI-06,CHEMICAL_LAB,Alchemy is inconsistent; need precise stoichiometry | Stoichiometry/Synthesis,SPECIFIC,NULL,SCI-09;SCI-13;SCI-23,,,,ENV-07;IND-18,,,
